,3-point field-goal percentage,Assists per game,Blocks per game,Field goal percentage,Free-throw percentage,Games played,Games started,Minutes per game,Points per game,Rebounds per game,Steals per game
0,0.375,1.3,0.3,0.417,0.819,71.0,6.0,15.5,7.6,1.9,0.7
1,0.341,2.5,0.5,0.428,0.794,79.0,1.0,26.0,15.4,3.1,0.9
2,0.267,3.8,1.0,0.465,0.839,50.0,50.0,37.9,19.9,5.3,1.4
3,0.319,4.9,0.9,0.468,0.821,66.0,62.0,38.2,22.5,6.3,1.6
4,0.305,5.0,0.6,0.464,0.853,68.0,68.0,40.9,28.5,5.9,1.7
5,0.25,5.5,0.4,0.469,0.829,80.0,80.0,38.3,25.2,5.5,1.5
6,0.383,5.9,0.8,0.451,0.843,82.0,82.0,41.5,30.0,6.9,2.2
7,0.327,5.1,0.4,0.438,0.852,65.0,64.0,37.6,24.0,5.5,1.7
8,0.339,6.0,0.8,0.433,0.816,66.0,66.0,40.7,27.6,5.9,1.3
9,0.347,4.5,0.4,0.45,0.85,80.0,80.0,41.0,35.4,5.3,1.8
10,0.344,5.4,0.5,0.463,0.868,77.0,77.0,40.8,31.6,5.7,1.4
11,0.361,5.4,0.5,0.459,0.84,82.0,82.0,38.9,28.3,6.3,1.8
12,0.351,4.9,0.5,0.467,0.856,82.0,82.0,36.1,26.8,5.2,1.5
13,0.329,5.0,0.3,0.456,0.811,73.0,73.0,38.8,27.0,5.4,1.5
14,0.323,4.7,0.1,0.451,0.828,82.0,82.0,33.9,25.3,5.1,1.2
15,0.303,4.6,0.3,0.43,0.845,58.0,58.0,38.5,27.9,5.4,1.2
16,0.324,6.0,0.3,0.463,0.839,78.0,78.0,38.6,27.3,5.6,1.4
17,0.188,6.3,0.2,0.425,0.857,6.0,6.0,29.5,13.8,4.3,1.2
18,0.293,5.6,0.2,0.373,0.813,35.0,35.0,34.5,22.3,5.7,1.3
19,0.285,2.8,0.2,0.358,0.826,66.0,66.0,28.2,17.6,3.7,0.9
