,3-point field-goal percentage,Assists per game,Blocks per game,Field goal percentage,Free-throw percentage,Games played,Games started,Minutes per game,Points per game,Rebounds per game,Steals per game
0,0.29,5.9,0.7,0.417,0.754,79.0,79.0,39.5,20.9,5.5,1.6
1,0.351,7.2,0.7,0.472,0.75,80.0,80.0,42.4,27.2,7.4,2.2
2,0.335,6.6,0.8,0.48,0.738,79.0,79.0,42.5,31.4,7.0,1.6
3,0.319,6.0,0.7,0.476,0.698,78.0,78.0,40.9,27.3,6.7,1.6
4,0.315,7.2,1.1,0.484,0.712,75.0,74.0,40.4,30.0,7.9,1.8
5,0.344,7.2,1.1,0.489,0.78,81.0,81.0,37.7,28.4,7.6,1.7
6,0.333,8.6,1.0,0.503,0.767,76.0,76.0,39.0,29.7,7.3,1.6
7,0.33,7.0,0.6,0.51,0.759,79.0,79.0,38.8,26.7,7.5,1.6
8,0.362,6.2,0.8,0.531,0.771,62.0,62.0,37.5,27.1,7.9,1.9
9,0.406,7.3,0.9,0.565,0.753,76.0,76.0,37.9,26.8,8.0,1.7
10,0.379,6.4,0.3,0.567,0.75,77.0,77.0,37.7,27.1,6.9,1.6
11,0.354,7.4,0.7,0.488,0.71,69.0,69.0,36.1,25.3,6.0,1.6
12,0.309,6.8,0.6,0.52,0.731,76.0,76.0,35.6,25.3,7.4,1.4
13,0.363,8.7,0.6,0.548,0.674,74.0,74.0,37.8,26.4,8.6,1.2
14,0.367,9.1,0.9,0.542,0.731,82.0,82.0,36.9,27.5,8.6,1.4
15,0.339,8.3,0.6,0.51,0.665,55.0,55.0,35.2,27.4,8.5,1.3
