,3-point field-goal percentage,Assists per game,Blocks per game,Field goal percentage,Free-throw percentage,Games played,Games started,Minutes per game,Points per game,Rebounds per game,Steals per game
0,0.173,5.9,0.8,0.515,0.845,82.0,82.0,38.3,28.2,6.5,2.4
1,0.167,2.9,1.2,0.457,0.84,18.0,7.0,25.1,22.7,3.6,2.1
2,0.182,4.6,1.5,0.482,0.857,82.0,82.0,40.0,37.1,5.2,2.9
3,0.132,5.9,1.6,0.535,0.841,82.0,82.0,40.4,35.0,5.5,3.2
4,0.276,8.0,0.8,0.538,0.85,81.0,81.0,40.2,32.5,8.0,2.9
5,0.376,6.3,0.7,0.526,0.848,82.0,82.0,39.0,33.6,6.9,2.8
6,0.312,5.5,1.0,0.539,0.851,82.0,82.0,37.0,31.5,6.0,2.7
7,0.27,6.1,0.9,0.519,0.832,80.0,80.0,38.8,30.1,6.4,2.3
8,0.352,5.5,0.8,0.495,0.837,78.0,78.0,39.3,32.6,6.7,2.8
9,0.5,5.3,0.8,0.411,0.801,17.0,17.0,39.3,26.9,6.9,1.8
10,0.427,4.3,0.5,0.495,0.834,82.0,82.0,37.7,30.4,6.6,2.2
11,0.374,4.3,0.5,0.486,0.833,82.0,82.0,37.9,29.6,5.9,1.7
12,0.238,3.5,0.5,0.465,0.784,82.0,82.0,38.8,28.7,5.8,1.7
13,0.189,5.2,0.4,0.416,0.79,60.0,53.0,34.9,22.9,5.7,1.4
14,0.291,3.8,0.5,0.445,0.821,82.0,67.0,37.0,20.0,6.1,1.5
