,3-point field-goal percentage,Assists per game,Blocks per game,Field goal percentage,Free-throw percentage,Games played,Games started,Minutes per game,Points per game,Rebounds per game,Steals per game
0,0.437,5.9,0.2,0.462,0.885,80.0,77.0,36.2,17.5,4.5,1.9
1,0.442,5.8,0.3,0.48,0.934,74.0,74.0,33.6,18.6,3.9,1.5
2,0.455,5.3,0.3,0.49,0.809,26.0,23.0,28.2,14.7,3.4,1.5
3,0.453,6.9,0.2,0.451,0.9,78.0,78.0,38.2,22.9,4.0,1.6
4,0.424,8.5,0.2,0.471,0.885,78.0,78.0,36.5,24.0,4.3,1.6
5,0.443,7.7,0.2,0.487,0.914,80.0,80.0,32.7,23.8,4.3,2.0
6,0.454,6.7,0.2,0.504,0.908,79.0,79.0,34.2,30.1,5.4,2.1
7,0.411,6.6,0.2,0.468,0.898,79.0,79.0,33.4,25.3,4.5,1.8
8,0.423,6.1,0.2,0.495,0.921,51.0,51.0,32.0,26.4,5.1,1.6
9,0.437,5.2,0.4,0.472,0.916,69.0,69.0,33.8,27.3,5.3,1.3
